userid,probability
55597,0.6334355473518372
55598,0.22872847318649292
55599,0.46973246335983276
55600,0.7218725085258484
55601,0.7606520652770996
55602,0.7394853830337524
55603,0.6827288269996643
55604,0.4810732901096344
55605,0.6061040759086609
55606,0.40781018137931824
55607,0.20505595207214355
55608,0.2775224447250366
55609,0.7349475622177124
55610,0.646517276763916
55611,0.564249575138092
55612,0.5387812256813049
55613,0.6843116283416748
55614,0.42631855607032776
55615,0.6308549642562866
55616,0.6069742441177368
55617,0.20205429196357727
55618,0.4088435769081116
55619,0.26151302456855774
55620,0.38385236263275146
55621,0.42320406436920166
55622,0.5998193621635437
55623,0.7012215852737427
55624,0.3905206322669983
55625,0.29028961062431335
55626,0.5281339883804321
55627,0.7100764513015747
55628,0.6321974396705627
55629,0.4704757034778595
55630,0.6553513407707214
55631,0.22686025500297546
55632,0.2564255893230438
55633,0.38496726751327515
55634,0.7623792290687561
55635,0.3724853992462158
55636,0.8600839972496033
55637,0.5622944831848145
55638,0.6866535544395447
55639,0.41617944836616516
55640,0.29858869314193726
55641,0.7025784850120544
55642,0.20665782690048218
55643,0.5539913773536682
55644,0.6741224527359009
55645,0.47632163763046265
55646,0.5197447538375854
55647,0.7962988018989563
55648,0.1874852180480957
55649,0.5287743806838989
55650,0.7027765512466431
55651,0.35854431986808777
55652,0.6632967591285706
55653,0.6749529242515564
55654,0.7156074643135071
55655,0.6008867621421814
55656,0.6940746307373047
55657,0.723721981048584
55658,0.4014943242073059
55659,0.8393590450286865
55660,0.4876861274242401
55661,0.66461181640625
55662,0.7136633992195129
55663,0.6290629506111145
55664,0.3806378245353699
55665,0.4104459285736084
55666,0.41455310583114624
55667,0.5277522802352905
55668,0.2140510082244873
55669,0.7966906428337097
55670,0.6819902658462524
55671,0.6393272876739502
55672,0.44388434290885925
55673,0.5191586017608643
55674,0.626912534236908
55675,0.7182807922363281
55676,0.704045295715332
55677,0.6856588125228882
55678,0.38698679208755493
55679,0.7263811826705933
55680,0.1988350749015808
55681,0.3022211492061615
55682,0.6351639032363892
55683,0.474167138338089
55684,0.2983109951019287
55685,0.8075116276741028
55686,0.5889372229576111
55687,0.6866441369056702
55688,0.7416350841522217
55689,0.30860602855682373
55690,0.4453577399253845
55691,0.35038238763809204
55692,0.6204014420509338
55693,0.6201782822608948
55694,0.438184529542923
55695,0.6116881370544434
55696,0.3826674818992615
55697,0.640304446220398
55698,0.40089407563209534
55699,0.33235159516334534
55700,0.823409914970398
55701,0.6663400530815125
55702,0.3612585961818695
55703,0.642368733882904
55704,0.27513059973716736
55705,0.37903571128845215
55706,0.6210514307022095
